ArrestNumber,ArresteeID,ArrestYr
19-036364,102748471,2019
19-030110,101055329,2019
20-019680,100318611,2020
20-019680,101946134,2020
20-019680,102260001,2020
20-019680,102297353,2020
20-022150,102023325,2020
20-022150,102211028,2020
20-022150,102584359,2020
20-022150,102503175,2020
20-021779,102501662,2020
20-021779,8237550,2020
20-021779,102172450,2020
20-021779,102755744,2020
20-022514,102755744,2020
20-022514,102756531,2020
20-022514,101383958,2020
20-022514,102240608,2020
20-019434,102228598,2020
20-019434,102453558,2020
20-019434,102054107,2020
20-019434,102377540,2020
20-028528,102702297,2020
20-024374,42017420,2020
20-025575,100149353,2020
20-025575,102756942,2020
21-006753,100149353,2021
21-006753,102756942,2021
20-035356,102756684,2020
21-025331,102698804,2021
20-026753,102698804,2020
20-026753,102758072,2020
20-026753,102525305,2020
20-026753,102523730,2020
20-026753,102510005,2020
20-026753,102759212,2020
20-032322,102525305,2020
20-032322,102523730,2020
20-032322,102510005,2020
20-032322,102759212,2020
20-038142,102510005,2020
20-038142,102759212,2020
20-038142,102525305,2020
20-038142,102523730,2020
20-001441,102759168,2020
20-001441,45032324,2020
20-001441,101908696,2020
20-001441,102334499,2020
20-001441,102501300,2020
20-001441,102329603,2020
20-036801,102424921,2020
20-036801,102423703,2020
20-036801,102533975,2020
20-036801,102433622,2020
20-036801,102334499,2020
20-036801,102501300,2020
20-022149,102329603,2020
20-022149,102424921,2020
20-022149,102423703,2020
20-022149,102533975,2020
20-022149,102433622,2020
20-022149,102334499,2020
18-000685,102501300,2018
18-000685,102329603,2018
18-000685,102424921,2018
18-000685,102423703,2018
18-000685,102533975,2018
18-000685,102433622,2018
21-026068,102334499,2021
21-026068,102501300,2021
21-026068,102329603,2021
21-026068,102424921,2021
21-026068,102423703,2021
21-027617,102533975,2021
21-027617,102433622,2021
21-027617,102334499,2021
21-027617,102501300,2021
21-027617,102329603,2021
21-028625,102424921,2021
21-028625,102423703,2021
21-028625,102533975,2021
21-028625,102433622,2021
21-028625,102334499,2021
21-027429,102501300,2021
21-027429,102329603,2021
21-027429,102424921,2021
21-027429,102423703,2021
21-027429,102533975,2021
21-019681,102433622,2021
21-019681,102312362,2021
21-019681,100235163,2021
21-019681,102417437,2021
21-019681,102506594,2021
21-019489,102417437,2021
21-019489,102506594,2021
21-019489,102453532,2021
21-019489,102758233,2021
21-019489,48111098,2021
21-024122,102085478,2021
21-024122,102050318,2021
21-024122,101946005,2021
21-024122,102045839,2021
21-024122,102083370,2021
16-011403,101512960,2016
16-011403,102085478,2016
16-011403,102050318,2016
16-011403,101946005,2016
16-011403,102045839,2016
16-015379,102083370,2016
16-015379,101512960,2016
16-015379,102085478,2016
16-015379,102050318,2016
16-015379,101946005,2016
20-028380,102045839,2020
21-025260,102083370,2021
20-025617,101512960,2020
20-025617,102085478,2020
20-025617,102050318,2020
20-025617,101946005,2020
20-025617,102045839,2020
20-025617,102083370,2020
20-020339,102045839,2020
20-020339,102083370,2020
20-020339,101512960,2020
20-020339,102085478,2020
20-020339,102050318,2020
20-020339,101946005,2020
20-009936,102050318,2020
20-009936,101946005,2020
20-009936,102045839,2020
20-009936,102083370,2020
20-009936,101512960,2020
20-009936,102368612,2020
20-009936,101875262,2020
20-009936,102759167,2020
20-009936,102359093,2020
20-009936,102502735,2020
20-031493,102584481,2020
20-031493,102403471,2020
20-031493,102422996,2020
20-031493,102759265,2020
20-031493,101668825,2020
20-031493,10192318,2020
20-031493,102635957,2020
20-031493,102733218,2020
20-031493,102701602,2020
20-031493,102756629,2020
20-032446,102635957,2020
20-032446,102733218,2020
20-032446,102701602,2020
20-032446,102756629,2020
20-033269,102701602,2020
20-033269,102756629,2020
20-033269,102757134,2020
20-033269,102277760,2020
20-033269,102127933,2020
20-033269,102292392,2020
20-033269,102584719,2020
20-033269,102758838,2020
20-000802,102757484,2020
20-000802,102758295,2020
20-000802,101749287,2020
20-000802,102700341,2020
20-000802,100714572,2020
20-000802,102728758,2020
20-000802,101869443,2020
20-000802,101816642,2020
20-000802,101939144,2020
20-027140,102229560,2020
20-027140,101965920,2020
20-027140,102215375,2020
20-027140,102759300,2020
20-027140,102754701,2020
20-027140,102749149,2020
19-046554,102333026,2019
19-046554,102059595,2019
19-046554,102356798,2019
19-046554,102127934,2019
19-046554,10078284,2019
19-046554,102053795,2019
19-046554,102760926,2019
20-034646,102760605,2020
20-034646,100339875,2020
20-034646,102329157,2020
20-034646,102761149,2020
20-034646,102287638,2020
20-034646,102761017,2020
20-034646,102420639,2020
20-034646,102400874,2020
21-020117,100686459,2021
18-029906,102502120,2018
17-051344,102760186,2017
17-012233,102453690,2017
20-017598,102344101,2020
20-035368,102760558,2020
19-025658,102359654,2019
21-004986,42015087,2021
21-004986,102759620,2021
20-001997,102760556,2020
20-001997,101884054,2020
20-020133,102760887,2020
20-020133,102313757,2020
20-017355,102305126,2020
20-017355,102378111,2020
20-017319,102313757,2020
20-017319,102305126,2020
20-016042,102378111,2020
20-016042,102313757,2020
21-026031,102305126,2021
20-014758,102378111,2020
20-014758,102440828,2020
20-014758,102337912,2020
20-021924,102439149,2020
20-021924,102440828,2020
20-021924,102337912,2020
20-013906,102439149,2020
